"","SiteStationYear","year","stationNumber","NEWloc","exp","siteNumber","meanshootlg","SLnbPIED","nbframe","BUBsum","BUBnbPIED","dens","propBUB","vac01","Count","SL01","BUBprop","BUBsum01","region","yearc"
"1220","BRUB_2_2014",2014,2,"BR","UB","BRUB",13.4,10,5,0,10,0.2,0,1,3,1,0,0,"Trondelag",2014
"1221","BRUB_2_2016",2016,2,"BR","UB","BRUB",12.1,10,10,0,10,0.1,0,1,15,1,0,0,"Trondelag",2016
"1222","BRUB_2_2019",2019,2,"BR","UB","BRUB",11.1818181818182,11,2,0,11,0.5,0,1,26,1,0,0,"Trondelag",2019
"1223","BRUB_2_2021",2021,2,"BR","UB","BRUB",16.3,10,12,0,10,0.0833333333333333,0,1,18,1,0,0,"Trondelag",2021
"1224","BRUB_2_2023",2023,2,"BR","UB","BRUB",28.2727272727273,11,10,0,11,0.1,0,1,35,1,0,0,"Trondelag",2023
"1225","BRUB_3_2008",2008,3,"BR","UB","BRUB",7.63636363636364,11,2,1,11,0.5,0.0909090909090909,1,3,1,0.0909090909090909,1,"Trondelag",2008
"1226","BRUB_3_2010",2010,3,"BR","UB","BRUB",15.1,10,2,0,10,0.5,0,1,18,1,0,0,"Trondelag",2010
"1227","BRUB_3_2012",2012,3,"BR","UB","BRUB",20,11,4,0,11,0.25,0,1,34,1,0,0,"Trondelag",2012
"1228","BRUB_3_2014",2014,3,"BR","UB","BRUB",12.4166666666667,12,2,3,12,0.5,0.25,1,23,1,0.25,1,"Trondelag",2014
"1229","BRUB_3_2016",2016,3,"BR","UB","BRUB",14.5,26,3,0,26,0.333333333333333,0,1,35,1,0,0,"Trondelag",2016
"1230","BRUB_3_2019",2019,3,"BR","UB","BRUB",17.4,20,3,0,20,0.333333333333333,0,1,67,1,0,0,"Trondelag",2019
"1231","BRUB_3_2021",2021,3,"BR","UB","BRUB",19.7647058823529,17,2,0,17,0.5,0,1,61,1,0,0,"Trondelag",2021
"1232","BRUB_3_2023",2023,3,"BR","UB","BRUB",25.25,12,3,0,12,0.333333333333333,0,1,72,1,0,0,"Trondelag",2023
"1233","BRUB_4_2008",2008,4,"BR","UB","BRUB",9.66666666666667,15,3,3,15,0.333333333333333,0.2,1,2,1,0.2,1,"Trondelag",2008
"1234","BRUB_4_2010",2010,4,"BR","UB","BRUB",16,10,3,7,10,0.333333333333333,0.7,1,9,1,0.7,1,"Trondelag",2010
"1235","BRUB_4_2012",2012,4,"BR","UB","BRUB",17.1818181818182,11,3,0,11,0.333333333333333,0,1,6,1,0,0,"Trondelag",2012
"1236","BRUB_4_2014",2014,4,"BR","UB","BRUB",20.3636363636364,11,4,1,11,0.25,0.0909090909090909,1,9,1,0.0909090909090909,1,"Trondelag",2014
"1237","BRUB_4_2016",2016,4,"BR","UB","BRUB",18.3,10,3,0,10,0.333333333333333,0,1,19,1,0,0,"Trondelag",2016
"1238","BRUB_4_2019",2019,4,"BR","UB","BRUB",11.9166666666667,12,5,0,12,0.2,0,1,50,1,0,0,"Trondelag",2019
"1239","BRUB_4_2021",2021,4,"BR","UB","BRUB",21.2,10,4,0,10,0.25,0,1,71,1,0,0,"Trondelag",2021
"1240","BRUB_4_2023",2023,4,"BR","UB","BRUB",21.1,10,4,0,10,0.25,0,1,37,1,0,0,"Trondelag",2023
"1241","BRUB_5_2008",2008,5,"BR","UB","BRUB",7.8,10,2,3,10,0.5,0.3,1,10,1,0.3,1,"Trondelag",2008
"1242","BRUB_5_2010",2010,5,"BR","UB","BRUB",12,10,2,7,10,0.5,0.7,1,9,1,0.7,1,"Trondelag",2010
"1243","BRUB_5_2012",2012,5,"BR","UB","BRUB",10.8461538461538,13,5,0,13,0.2,0,1,30,1,0,0,"Trondelag",2012
"1244","BRUB_5_2014",2014,5,"BR","UB","BRUB",11,10,9,0,10,0.111111111111111,0,1,10,1,0,0,"Trondelag",2014
"1245","BRUB_5_2016",2016,5,"BR","UB","BRUB",13.2857142857143,14,9,2,14,0.111111111111111,0.142857142857143,1,2,1,0.142857142857143,1,"Trondelag",2016
"1246","BRUB_5_2019",2019,5,"BR","UB","BRUB",9.08333333333333,12,9,0,12,0.111111111111111,0,1,23,1,0,0,"Trondelag",2019
"1247","BRUB_5_2021",2021,5,"BR","UB","BRUB",16.3333333333333,12,3,0,12,0.333333333333333,0,1,28,1,0,0,"Trondelag",2021
"1248","BRUB_5_2023",2023,5,"BR","UB","BRUB",23.9,10,10,0,10,0.1,0,1,32,1,0,0,"Trondelag",2023
"1249","BRUB_6_2008",2008,6,"BR","UB","BRUB",9.36363636363636,11,4,2,11,0.25,0.181818181818182,1,10,1,0.181818181818182,1,"Trondelag",2008
"1250","BRUB_6_2010",2010,6,"BR","UB","BRUB",14.9,10,4,5,10,0.25,0.5,1,5,1,0.5,1,"Trondelag",2010
"1251","BRUB_6_2012",2012,6,"BR","UB","BRUB",19.4,10,5,0,10,0.2,0,1,19,1,0,0,"Trondelag",2012
"1252","BRUB_6_2014",2014,6,"BR","UB","BRUB",17.8181818181818,11,5,0,11,0.2,0,1,16,1,0,0,"Trondelag",2014
"1253","BRUB_6_2016",2016,6,"BR","UB","BRUB",21.1,10,4,0,10,0.25,0,1,16,1,0,0,"Trondelag",2016
"1254","BRUB_6_2019",2019,6,"BR","UB","BRUB",19.4117647058824,17,2,0,17,0.5,0,1,38,1,0,0,"Trondelag",2019
"1255","BRUB_6_2021",2021,6,"BR","UB","BRUB",16.7333333333333,15,6,0,15,0.166666666666667,0,1,28,1,0,0,"Trondelag",2021
"1256","BRUB_6_2023",2023,6,"BR","UB","BRUB",23.1818181818182,11,6,0,11,0.166666666666667,0,1,41,1,0,0,"Trondelag",2023
"1257","BRUB_7_2008",2008,7,"BR","UB","BRUB",11.1666666666667,12,5,3,12,0.2,0.25,1,7,1,0.25,1,"Trondelag",2008
"1258","BRUB_7_2010",2010,7,"BR","UB","BRUB",13.2,10,2,0,10,0.5,0,1,3,1,0,0,"Trondelag",2010
"1259","BRUB_7_2012",2012,7,"BR","UB","BRUB",12.8181818181818,11,4,1,11,0.25,0.0909090909090909,1,11,1,0.0909090909090909,1,"Trondelag",2012
"1260","BRUB_7_2014",2014,7,"BR","UB","BRUB",10.7272727272727,11,3,0,11,0.333333333333333,0,1,9,1,0,0,"Trondelag",2014
"1261","BRUB_7_2016",2016,7,"BR","UB","BRUB",12.8,10,4,0,10,0.25,0,1,11,1,0,0,"Trondelag",2016
"1262","BRUB_7_2019",2019,7,"BR","UB","BRUB",14,11,2,0,11,0.5,0,1,19,1,0,0,"Trondelag",2019
"1263","BRUB_7_2021",2021,7,"BR","UB","BRUB",20.9090909090909,11,2,0,11,0.5,0,1,18,1,0,0,"Trondelag",2021
"1264","BRUB_7_2023",2023,7,"BR","UB","BRUB",29.4,10,4,0,10,0.25,0,1,29,1,0,0,"Trondelag",2023
"1265","BRUB_8_2008",2008,8,"BR","UB","BRUB",9.3,10,3,4,10,0.333333333333333,0.4,1,9,1,0.4,1,"Trondelag",2008
"1266","BRUB_8_2010",2010,8,"BR","UB","BRUB",13.3,10,3,3,10,0.333333333333333,0.3,1,7,1,0.3,1,"Trondelag",2010
"1267","BRUB_8_2012",2012,8,"BR","UB","BRUB",12.2727272727273,11,6,0,11,0.166666666666667,0,1,30,1,0,0,"Trondelag",2012
"1268","BRUB_8_2014",2014,8,"BR","UB","BRUB",14.6,10,6,0,10,0.166666666666667,0,1,23,1,0,0,"Trondelag",2014
"1269","BRUB_8_2016",2016,8,"BR","UB","BRUB",13.7,10,3,0,10,0.333333333333333,0,1,21,1,0,0,"Trondelag",2016
"1270","BRUB_8_2019",2019,8,"BR","UB","BRUB",10.9,10,2,0,10,0.5,0,1,64,1,0,0,"Trondelag",2019
"1271","BRUB_8_2021",2021,8,"BR","UB","BRUB",27.2,10,9,0,10,0.111111111111111,0,1,4,1,0,0,"Trondelag",2021
"1272","BRUB_8_2023",2023,8,"BR","UB","BRUB",32.3636363636364,11,16,0,11,0.0625,0,1,24,1,0,0,"Trondelag",2023
"1273","BRUB_9_2008",2008,9,"BR","UB","BRUB",6.6,10,6,2,10,0.166666666666667,0.2,1,62,1,0.2,1,"Trondelag",2008
"1274","BRUB_9_2010",2010,9,"BR","UB","BRUB",11.8,10,2,6,10,0.5,0.6,1,4,1,0.6,1,"Trondelag",2010
"1275","BRUB_9_2012",2012,9,"BR","UB","BRUB",11.5833333333333,12,1,0,12,1,0,1,9,1,0,0,"Trondelag",2012
"1276","BRUB_9_2014",2014,9,"BR","UB","BRUB",17.4,10,6,0,10,0.166666666666667,0,1,2,1,0,0,"Trondelag",2014
"1277","BRUB_9_2016",2016,9,"BR","UB","BRUB",25.4,10,2,0,10,0.5,0,1,12,1,0,0,"Trondelag",2016
"1278","BRUB_9_2019",2019,9,"BR","UB","BRUB",19,11,3,0,11,0.333333333333333,0,1,1,1,0,0,"Trondelag",2019
"1279","BRUB_9_2021",2021,9,"BR","UB","BRUB",22.8333333333333,12,11,0,12,0.0909090909090909,0,1,9,1,0,0,"Trondelag",2021
"1280","BRUB_9_2023",2023,9,"BR","UB","BRUB",30.3,10,9,0,10,0.111111111111111,0,1,16,1,0,0,"Trondelag",2023
"1281","FLB_1_2008",2008,1,"FL","B","FLB",3.66666666666667,12,25,4,12,0.04,0.333333333333333,0,0,1,0.333333333333333,1,"Trondelag",2008
"1282","FLB_1_2010",2010,1,"FL","B","FLB",13.1,10,30,2,10,0.0333333333333333,0.2,0,0,1,0.2,1,"Trondelag",2010
"1283","FLB_1_2012",2012,1,"FL","B","FLB",9.92307692307692,13,80,0,13,0.0125,0,0,0,1,0,0,"Trondelag",2012
